index,formula,MXene,H_MXene,RM1,EM1,AM1,VM1,IPM1,RX,EX,AX,VX,IPX,RT,ET,AT,VT,IPT,RM2,EM2,AM2,VM2,IPM2,RM1-RM2,RT-RM1,RT-RM2,(RM1-M2)/(RM1+RM2)/2,EX-EM1,EX-EM2,ET-EM1,ET-EM2,EM1-EM2,d_avg,d_diff,(ET-EM1)/(RM1+RT),(ET-EM2)/(RM2+RT),(EX-EM1)/(RM1+RX),(EX-EM2)/(RM2+RX),COM_M1,COM_M2,RM_avg,EM_avg,P_diff,G_diff,ET-EM_avg,pT-d_avg,VEC,IP_avg,mM_avg,RM1/M2,EM1/M2,AM1/M2,VM1/M2,IPM1/M2,X_AN,X_PNME,X_DNME,X_SZaME/(SZaME)max,X_REaME/(REaME)max,X_PNMD,X_SZaMD/(SZaMD)max,X_REaMD/(REaMD)max,T_AN,T_PNME,T_DNME,T_SZaME/(SZaME)max,T_REaME/(REaME)max,T_PNMD,T_SZaMD/(SZaMD)max,T_REaMD/(REaMD)max,M2_AN,M2_PNME,M2_DNME,M2_SZaME/(SZaME)max,M2_REaME/(REaME)max,M2_PNMD,M2_SZaMD/(SZaMD)max,M2_REaMD/(REaMD)max,M1_AN,M1_PNME,M1_DNME,M1_SZaME/(SZaME)max,M1_REaME/(REaME)max,M1_PNMD,M1_SZaMD/(SZaMD)max,M1_REaMD/(REaMD)max,A,d_T-M1,d_T-X,d_M1_X,X_bader,T1_bader,T2_bader,M2_bader,M1_bader,WF_bottom(eV),WF_top(eV),WF_diff,WF_avg,d_H_M1,d_H_T,e_dpz,e_d(M1),e_d(M2),E_pz_T,E_d_M1,E_d_M2,Formation_Energy_eV_per_atom,E_above_hull_eV_per_atom,Delta_G_eV
158,Y2CCl2,AA,x,1.8,1.22,0.30712,11,6.21726,0.7,2.55,1.262113612,4,11.260288,1,3.16,3.61272528,7,12.967633,1.8,1.22,0.30712,11,6.21726,0,-0.8,-0.8,0,1.33,1.33,1.94,1.94,0,1,0,0.692857143,0.692857143,0.532,0.532,1.30236305,1.30236305,1.8,1.22,0,0,1.94,4,4.8,6.21726,88.90585,1,1,1,1,1,6,88,12,0.15167,0.78879,87,0.15208,0.77673,17,107,6,0.16265,0.73553,107,0.1606,0.73553,39,15,108,0.74258,0.1611,12,0.76224,0.15497,39,15,108,0.74258,0.1611,12,0.76224,0.15497,3.702007004,2.762600543,3.762760735,2.526110304,2.181467,0.738882,0.73789,-1.827361,-1.830878,5.560761667,5.560566,-0.000195667,5.560663833,4.72735808,3.267327024,-3.430625457,2.96168266,2.96168266,-3.446544501,2.923802854,2.923802854,-1.562989,-0.143666,2.179771
577,Zr2CBr2,AA,m2,1.55,1.33,0.433289,12,6.634126,0.7,2.55,1.262113612,4,11.260288,1.15,2.96,3.3635883,7,11.81381,1.55,1.33,0.433289,12,6.634126,0,-0.4,-0.4,0,1.22,1.22,1.63,1.63,0,2,0,0.603703704,0.603703704,0.542222222,0.542222222,1.113387978,1.113387978,1.55,1.33,0,0,1.63,3,5.2,6.634126,91.224,1,1,1,1,1,6,88,12,0.15167,0.78879,87,0.15208,0.77673,35,108,10,0.19779,0.60484,108,0.1953,0.60484,40,47,68,0.50364,0.23753,44,0.51595,0.22894,40,47,68,0.50364,0.23753,44,0.51595,0.22894,3.502033699,2.811267336,3.728919197,2.341005732,2.134565,0.638569,0.640842,-1.705151,-1.708824,3.961567,3.961345333,-0.000221667,3.961456167,4.43215368,3.20429032,-4.186742903,0.856063577,0.856063577,-4.193158193,0.840526792,0.840526792,-1.32627,-0.142707,2.24559
439,Hf2CCl2,AA,m2,1.55,1.3,0.17807,10,6.82507,0.7,2.55,1.262113612,4,11.260288,1,3.16,3.61272528,7,12.967633,1.55,1.3,0.17807,10,6.82507,0,-0.55,-0.55,0,1.25,1.25,1.86,1.86,0,2,0,0.729411765,0.729411765,0.555555556,0.555555556,1.312941176,1.312941176,1.55,1.3,0,0,1.86,3,5.2,6.82507,178.49,1,1,1,1,1,6,88,12,0.15167,0.78879,87,0.15208,0.77673,17,107,6,0.16265,0.73553,107,0.1606,0.73553,72,48,71,0.57475,0.20815,45,0.58884,0.2006,72,48,71,0.57475,0.20815,45,0.58884,0.2006,3.398564129,2.654352696,3.545703881,2.282304083,2.153117,0.686676,0.690356,-1.766908,-1.763241,3.806586667,3.806516667,-7.00E-05,3.806551667,4.330830535,3.212078212,-4.681023995,1.244957486,1.244957486,-4.716296405,1.222812374,1.222812374,-1.48266,-0.089287,2.184463
233,Ta2CSe2,BA,bridge,1.45,1.5,0.32312,11,7.549571,0.7,2.55,1.262113612,4,11.260288,1.15,2.55,2.020604712,6,9.752392,1.45,1.5,0.32312,11,7.549571,0,-0.3,-0.3,0,1.05,1.05,1.05,1.05,0,3,0,0.403846154,0.403846154,0.488372093,0.488372093,0.826923077,0.826923077,1.45,1.5,0,0,1.05,1,5.2,7.549571,180.94788,1,1,1,1,1,6,88,12,0.15167,0.78879,87,0.15208,0.77673,34,102,14,0.21954,0.54493,101,0.22068,0.53528,73,52,69,0.54867,0.21804,49,0.56231,0.21007,73,52,69,0.54867,0.21804,49,0.56231,0.21007,3.32155478,2.623413989,3.02075291,2.278570967,1.891296,0.675946,0.639124,-1.689289,-1.517077,4.727358,4.900889667,0.173531667,4.814123833,2.019869671,1.769451484,-2.060875392,1.147157776,1.147157776,-2.548975757,0.623744109,0.623744109,-0.805544,-0.079768,1.475992
552,TaMnNSe2,BA,bridge,1.45,1.5,0.32312,11,7.549571,0.65,3.04,-0.07,5,14.53413,1.15,2.55,2.020604712,6,9.752392,1.4,1.55,-0.52,13,7.434038,0.05,-0.3,-0.25,0.00877193,1.54,1.49,1.05,1,-0.05,4,2,0.403846154,0.392156863,0.733333333,0.726829268,0.550699301,0.539544677,1.425,1.525,2,2,1.025,0,5.8,7.4918045,117.9429625,1.035714286,0.967741935,-0.621384615,0.846153846,1.015541083,7,94,8,0.1473,0.81216,93,0.14784,0.79901,34,102,14,0.21954,0.54493,101,0.22068,0.53528,25,58,52,0.3851,0.31065,55,0.39497,0.29907,73,52,69,0.54867,0.21804,49,0.56231,0.21007,3.220506279,2.59518196,3.0095312,2.212462713,1.594064,0.622931,0.407114,-1.061509,-1.5626,4.594562333,4.898303667,0.303741333,4.746433,1.959730792,1.761548993,-2.394739092,0.969803604,-2.283582958,-2.637857679,0.833316873,0.355578119,-0.579741,-0.07374,1.258418
66,TiHfCBr2,AA,m2,1.4,1.54,0.075545,12,6.82812,0.7,2.55,1.262113612,4,11.260288,1.15,2.96,3.3635883,7,11.81381,1.55,1.3,0.17807,10,6.82507,-0.15,-0.25,-0.4,-0.025423729,1.01,1.25,1.42,1.66,0.24,2,0,0.556862745,0.614814815,0.480952381,0.555555556,1.15783343,1.106666667,1.475,1.42,2,0,1.54,3,5.2,6.826595,113.1785,0.903225806,1.184615385,0.424243275,1.2,1.000446882,6,88,12,0.15167,0.78879,87,0.15208,0.77673,35,108,10,0.19779,0.60484,108,0.1953,0.60484,72,48,71,0.57475,0.20815,45,0.58884,0.2006,22,46,64,0.43051,0.27789,43,0.441,0.26786,3.403230173,2.665731548,3.476100921,2.23539497,2.050471,0.584265,0.626593,-1.734118,-1.527211,3.742954333,4.265146333,0.522192,4.004050333,4.297771416,3.178778093,-4.030566019,0.938693709,0.765134023,-4.352429033,0.836229292,0.567527335,-1.207232,-0.069668,2.193327
56,Ti2CF2,AA,x,1.4,1.54,0.075545,12,6.82812,0.7,2.55,1.262113612,4,11.260288,0.5,3.98,3.401189824,7,17.42282,1.4,1.54,0.075545,12,6.82812,0,-0.9,-0.9,0,1.01,1.01,2.44,2.44,0,2,0,1.284210526,1.284210526,0.480952381,0.480952381,2.670140698,2.670140698,1.4,1.54,0,0,2.44,3,5.2,6.82812,47.867,1,1,1,1,1,6,88,12,0.15167,0.78879,87,0.15208,0.77673,9,106,3,0.13207,0.90585,106,0.1304,0.90585,22,46,64,0.43051,0.27789,43,0.441,0.26786,22,46,64,0.43051,0.27789,43,0.441,0.26786,3.05365178,2.163352081,2.971678742,2.098659694,1.901178,0.7542,0.756033,-1.70495,-1.70646,4.860447333,4.859779,-0.000668333,4.860113167,3.989792527,2.915856611,-5.874221187,0.63110696,0.63110696,-5.909948051,0.586281251,0.586281251,-2.215071,-0.057531,2.188646
216,Sc2NBr2,AA,m2,1.6,1.36,0.1882,11,6.56149,0.65,3.04,-0.07,5,14.53413,1.15,2.96,3.3635883,7,11.81381,1.6,1.36,0.1882,11,6.56149,0,-0.45,-0.45,0,1.68,1.68,1.6,1.6,0,1,0,0.581818182,0.581818182,0.746666667,0.746666667,0.779220779,0.779220779,1.6,1.36,0,0,1.6,4,5,6.56149,44.955912,1,1,1,1,1,7,94,8,0.1473,0.81216,93,0.14784,0.79901,35,108,10,0.19779,0.60484,108,0.1953,0.60484,21,14,105,0.6303,0.1898,11,0.64709,0.18255,21,14,105,0.6303,0.1898,11,0.64709,0.18255,3.441139475,2.716231752,3.617964972,2.306417725,1.930163,0.662415,0.660198,-1.626459,-1.626317,4.215747667,4.215687,-6.07E-05,4.215717333,4.374475049,3.216873796,-4.125959068,1.538936453,1.538936453,-4.138978264,1.490696039,1.490696039,-1.761961,-0.043722,2.190466
388,ZrTiCBr2,AA,m2,1.55,1.33,0.433289,12,6.634126,0.7,2.55,1.262113612,4,11.260288,1.15,2.96,3.3635883,7,11.81381,1.4,1.54,0.075545,12,6.82812,0.15,-0.4,-0.25,0.025423729,1.22,1.01,1.63,1.42,-0.21,2,0,0.603703704,0.556862745,0.542222222,0.480952381,1.113387978,1.15783343,1.475,1.435,1,0,1.525,3,5.2,6.731123,69.5455,1.107142857,0.863636364,5.735508637,1,0.971588959,6,88,12,0.15167,0.78879,87,0.15208,0.77673,35,108,10,0.19779,0.60484,108,0.1953,0.60484,22,46,64,0.43051,0.27789,43,0.441,0.26786,40,47,68,0.50364,0.23753,44,0.51595,0.22894,3.417090437,2.794598469,3.455198698,2.313166798,2.032912,0.628757,0.57927,-1.537479,-1.703459,4.330697,4.025246333,-0.305450667,4.177971667,4.461810623,3.17346735,-3.99574965,0.566170811,0.907473712,-3.991031799,0.472633387,0.874007518,-1.224165,-0.042901,2.19446
458,TiZrCBr2,AA,bridge,1.4,1.54,0.075545,12,6.82812,0.7,2.55,1.262113612,4,11.260288,1.15,2.96,3.3635883,7,11.81381,1.55,1.33,0.433289,12,6.634126,-0.15,-0.25,-0.4,-0.025423729,1.01,1.22,1.42,1.63,0.21,2,0,0.556862745,0.603703704,0.480952381,0.542222222,1.15783343,1.113387978,1.475,1.435,1,0,1.525,3,5.2,6.731123,69.5455,0.903225806,1.157894737,0.174352453,1,1.029241832,6,88,12,0.15167,0.78879,87,0.15208,0.77673,35,108,10,0.19779,0.60484,108,0.1953,0.60484,40,47,68,0.50364,0.23753,44,0.51595,0.22894,22,46,64,0.43051,0.27789,43,0.441,0.26786,3.417098317,2.670975465,3.455122181,2.228314321,2.028176,0.585172,0.629424,-1.702342,-1.54043,4.030622667,4.336023667,0.305401,4.183323167,2.40219742,1.706225028,-3.994795253,0.907644538,0.564704833,-4.303608426,0.750544578,0.412578806,-1.224165,-0.0429,2.295854
